Movie Name,Release Year,Movie Runtime,Total Song Length,Number of Songs
7 Hours to Go,2016,120,42.55,6
Great Grand Masti,2016,127,15.03,4
Dishoom,2016,124,54.83,8
Happy Bhag Jayegi,2016,126,23.2,5
A Flying Jatt,2016,151,53.38,7
Baar Baar Dekho,2016,141,42.38,7
Ek Kahani Julie Ki,2016,140,20.78,5
Raaz Reboot,2016,128,54.43,8
MSG the Warrior: Lion Heart,2016,120,7.32,2
Devi,2016,152,35.2,5
Shivaay,2016,162,53.6,7
Tum Bin II,2016,147,106.92,12
Force2,2016,127,16.67,4
Dear Zindagi,2016,150,78.05,11
Kahaani 2: Durga Rani Singh,2016,128,14.93,4
Wajah Tum Ho,2016,136,93.2,11
Ok Jaanu,2017,137,68.35,9
Kaabil,2017,139,24.62,6
Jolly LLB 2,2017,137,30.38,5
Hind Ka Napak ko Jawab: MSG Lion Heart 2,2017,126,14.7,4
Running Shaadi,2017,114,30.52,7
Irada,2017,110,21.78,4
Commando 2: The Black Money Trail,2017,124,22.13,7
Jeena Isi Ka Naam Hai,2017,171,69.07,8
Badrinath Ki Dulhania,2017,139,22.9,6
Phillauri,2017,131,33.9,8
Bhanwarey,2017,120,6.43,2
Anaarkali of Aarah,2017,113,38.97,10
Naam Shabana,2017,147,16.5,4
Poorna,2017,100,16.23,4
Laali Ki Shaadi Mein Laaddoo Deewana,2017,130,59.15,8
Mirza Juuliet,2017,130,22.77,5
Begum Jaan,2017,127,36.13,7
Meri Pyaari Bindu,2017,119,30.43,8
Sarkar 3,2017,131,61.32,8
Jattu Engineer,2017,139,5.72,2
Hindi Medium,2018,132,31.42,5
A Death In The Gunj,2017,107,28.6,12
Sweetiee Weds NRI,2017,116,45.87,10
Dobaara: See Your Evil,2017,131,25.38,7
FLAT 211,2017,145,28.95,7
Dear Maya,2017,131,51.5,7
Raabta,2017,148,61.5,8
Behen Hogi Teri,2017,128,28.23,7
G Kutta Se,2017,104,7.57,2
Tubelight,2017,136,43.3,10
Guest Iin London,2017,132,23.9,5
Jagga Jasoos,2017,162,23.12,6
Munna Michael,2017,139,35.33,10
Indu Sarkar,2017,139,3.95,1
Mubarakan,2017,156,49.47,7
Jab Harry Met Sejal,2017,144,57.03,13
Toilet: Ek Prem Katha,2017,155,21.0,5
Bareilly Ki Barfi,2017,122,26.67,8
"A Gentleman: Sundar, Susheel, Risky",2017,132,16.25,5
Qaidi Band,2017,119,35.17,9
Baadshaho,2017,136,30.87,8
Shubh Mangal Saavdhan,2017,119,15.7,5
Poster Boys,2017,131,14.12,4
Lucknow Central,2017,147,25.1,6
Haseena Parkar,2017,124,14.0,4
Judwaa 2,2017,149,16.08,4
Secret Superstar,2017,150,33.92,8
Golmaal Again!!!,2017,152,18.92,5
Jia Aur Jia,2017,92,27.35,5
Ittefaq,2017,107,3.33,1
Shaadi Mein Zaroor Aana,2017,137,89.03,12
Qarib Qarib Singlle,2017,125,3.93,1
Aksar 2,2017,117,29.53,4
Tumhari Sulu,2017,140,16.03,5
Julie 2,2017,159,46.93,6
Tera Intezaar,2017,108,34.42,8
Firangi,2017,160,46.75,7
Monsoon Shootout,2017,92,23.18,6
Tiger Zinda Hai,2017,161,25.48,6
Kaalakaandi,2018,112,15.62,5
Mukkabaaz,2018,155,3.45,1
Nirdosh,2018,110,10.1,2
Pad Man,2018,140,21.05,5
Love Per Square Foot,2018,133,27.57,7
Aiyaary,2018,160,17.25,4
Sonu Ke Titu Ki Sweety,2018,138,30.22,8
Veerey Ki Wedding,2018,122,19.25,5
Hate Story IV,2018,127,36.7,8
Dil Juunglee,2018,124,17.22,5
3 Storeys,2018,100,16.93,4
Hichki,2018,116,20.53,7
Baaghi 2,2018,144,25.05,6
Nanu Ki Jaanu,2018,133,20.42,5
102 Not Out,2018,102,27.82,6
Raazi,2018,140,18.97,4
Hope Aur Hum,2018,95,23.2,4
Khajoor Pe Atke,2018,119,23.75,5
Parmanu: The Story of Pokhran,2018,129,22.82,6
Veere Di Wedding,2018,125,30.17,8
Bhavesh Joshi Superhero,2018,153,16.37,4
Phamous,2018,115,13.23,3
Race 3,2018,159,44.53,10
Sanju,2018,161,26.42,6
Dhadak,2018,138,17.02,4
Saheb Biwi Aur Gangster Returns,2013,142,20.22,5
Nawabzaade,2018,112,31.97,6
Fanney Khan,2018,130,33.18,8
Mulk,2018,140,14.97,3
Karwaan,2018,114,24.77,7
Happy Bhag Jayegi,2016,126,23.2,5
Yamla Pagla Deewana: Phir Se,2018,148,14.52,4
Stree,2018,128,12.0,4
Paltan,2018,154,19.9,3
Manmarziyaan,2018,156,53.9,14
Batti Gul Meter Chalu,2018,161,20.23,5
Ishqeria,2018,118,39.25,8
Sui Dhaaga: Made In India,2018,122,25.98,5
Pataakha,2018,134,36.4,6
Loveyatri,2018,139,32.3,9
Andhadhun,2018,138,34.48,10
Helicopter Eela,2018,130,24.4,6
Namaste England,2018,141,34.25,7
Badhaai Ho,2018,123,17.48,5
Baazaar,2018,137,21.78,6
5 Weddings,2018,90,17.28,5
Kaashi in Search of Ganga,2018,125,31.38,8
The Journey of Karma,2018,98,24.53,6
Jack and Dil,2018,98,21.35,5
